|departure_city|col_index|language|flight_date|airline|customer_review_original_language
13|Nakhchivan|13|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Nakhchivan to Istanbul. The flight set off a little bit late and boarding was disorderly with too many passengers carrying oversized baggage on board. The aircraft appeared to be old with drop-down screens for entertainment which were virtually useless. Cabin service was not very good and staff appeared not to care.
14|Istanbul|14|turc|2022-07-25 01:09:42.953034977|TurkishFly|İstanbul'dan Trabzon'a Biniş hızlıydı. Uçuşun zamanında geleceğini düşündüm ama hayır! Taksi sonsuza kadar sürdü. Kalkış için 40 dakika bekledik. Kabin ekibinden herhangi bir açıklama duyup duymadığımı hatırlamıyorum. Uçak koltuğunda 40 dakikaya havaalanında 60 dakikayı tercih ederim. Kabin ekibi iyiydi. Sandviç ve içecek çekilişi güzeldi. Ucuz fiyat.
15|Izmir|15|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Izmir to Istanbul. It was my first Boeing 777 experience. They gave a free hot sandwich with cheese and vegetables and a drink. Hot and cold options were rich. Cold ones weren't very cold but you can add some ice to them. Plane was really big and crowded yet there were no problem with fresh air and air conditioning. Well, maybe one. One of the cabins leaked some water to a passenger. They suddenly suggested he change his seat, he refused. Flight on time, good cabin crew. And this time, it was extremely cheap.
16|New Delhi|16|indian|2022-07-25 01:09:42.953034977|IndiaFly|नई दिल्ली से इस्तांबुल होते हुए कप्पाडोसिया तक। मैंने 16 अप्रैल को शाम 6:15 बजे नई दिल्ली से उड़ान भरी, इसमें 1.5 घंटे की देरी हुई और शाम 7:50 बजे उड़ान भरी। 16 अप्रैल को दोपहर 12:20 बजे इस्तांबुल से कप्पाडोसिया के लिए मेरी कनेक्टिंग फ्लाइट थी, लेकिन इस एयरलाइन की देरी के कारण मैं देर से पहुंचा और मेरी फ्लाइट छूट गई। उन्होंने बिना किसी होटल में ठहरने की व्यवस्था उपलब्ध कराए मुझे रात 11:30 बजे की फ्लाइट दे दी। बाद में मुझे उन पर पहले वाली फ्लाइट देने के लिए दबाव डालना पड़ा क्योंकि मैं थका हुआ था इसलिए उन्होंने मुझे TK 2018 रात 8:35 बजे की फ्लाइट दी जिसमें भी देरी हुई और फ्लाइट रात 10:50 बजे रवाना हुई। मैं किसी तरह खुश था कि कम से कम मैं कप्पाडोसिया पहुंच गया लेकिन मेरा पूरा दिन और होटल बुकिंग बर्बाद हो गई। मैं अपना सामान लेने गया लेकिन मुझे आश्चर्य हुआ कि मेरा सामान नहीं आया और मुझे बताया गया कि यह अगली उड़ान में आ रहा है और वे इसे मेरे होटल में भेज देंगे। मैं अपने होटल आया और 17 अप्रैल को शाम के लगभग 4 बजे थे और कई बार कॉल करने के बाद भी मेरा सामान अभी तक नहीं आया है। इस एयरलाइन ने बिना कोई अच्छी सेवा या सुविधा दिए मुझसे बहुत अधिक शुल्क लिया है। मैं अत्यधिक अनुशंसा करूंगा कि किसी को भी टर्किश एयरलाइंस बुक न करें जब तक कि वे अपना समय और पैसा बर्बाद न करना चाहें। पता नहीं मेरा सामान कब आएगा और कब तक मुझे अपने होटल में बैठना पड़ेगा और समय बर्बाद करना पड़ेगा क्योंकि जब तक मैं अपने कपड़े नहीं ले लेता और इस शहर को देखने के लिए बाहर नहीं निकलता, तब तक मैं तरोताजा नहीं हो सकता।
17|Singapore|17|chinese|2022-07-25 01:09:42.953034977|AirChz|新加坡經伊斯坦布爾飛往薩格勒布。伊斯坦布爾機場的客戶服務很糟糕。我錯過了從新加坡抵達伊斯坦布爾的轉機航班。我已向機上乘務員詢問我的轉機航班情況。她向我保證連接沒有問題。抵達後，沒有工作人員提供協助。顯示屏上沒有顯示我的航班。我最終去了他們的護理點櫃檯。那裡的工作人員是最差的。我會給負面評級 1。他們只是花時間來確定你的下一個航班。如果我沒有堅持要求我需要在同一天飛行，他們就會讓我乘坐第二天的航班。這是我10年旅行中遇到的最差的航站樓服務。
18|Baku|18|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Baku to Amsterdam via Istanbul. They still operate like a third world airline. Check in counter staff at the new airport was ignorant (when she finished my check in, she just left the boarding pass and my passport on the counter instead of handing them to me). I changed my seat the previous night when doing the online check in. When boarding the agent said I had the wrong seat and put me back at my old seat. I asked why, and she said they changed plane. She just made that up.
19|New York JFK|19|english|2022-07-25 01:09:42.953034977|AlphaAirlines|New York JFK to Tel Aviv via Istanbul. Do not fly Turkish Airlines! We had round trip scheduled March-April 2019. Just before leaving on our trip they cancelled the second leg of our return flight and placed us on another flight which involved a 14 hour layover in Istanbul airport. Then, upon arrival in Istanbul on our way out to Tel Aviv they cancelled the second leg of this part of the trip as we stood at the gate waiting for departure and put us on another flight several hours later because the later flight was not full. Imagine 300 People at an airline gate waiting as staff filled out new boarding passes for everyone by hand!. We cancelled our return arrangements (without refund) and flew another airline home at the end of our vacation. Rather lose the money then deal with this airline any further!
20|Kathmandu|20|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Kathmandu to Berlin via Istanbul. Their service is worst because they usually overbook the flight and it was like first come first serve basis and airport staff don't even listen the customer request. They treat people like they are doing favor to them. Flight often delayed by 2- 4 hours and they don't care about your connecting flight. In my return flight after issuing boarding pass, my seat plan was changed without any notice and in flight entertainment system is damaged and it was 9 hours long flight. I have requested several times but they don't care and don't give attention to the passengers request.
21|Montreal|21|french|2022-07-25 01:09:42.953034977|AirParis|Montréal à Bucarest via Istanbul. Nourriture délicieuse, grand choix de boissons. Personnel de cabine gentil et attentionné. Je choisirais à nouveau le turc et je peux les recommander.
22|Guangzhou|22|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Guangzhou to Barcelona via Istanbul. I wonder if customer service really exists for this airline. My luggage has been gone missing already two days and there has been no update for the last 24 hours already! I called the customer service almost ten times in the last 2 days and it is never answered. In their online luggage tracing system, they don't even update what they did or how long I need to wait. I doubt that I would ever book Turkish Airline again. As a frequent flier of the long-haul flights, I have never experienced lost luggage. I know that it is not uncommon that luggage can be delayed or missing. But what is lacking is their customer service.
23|Istanbul|23|turc|2022-07-25 01:09:42.953034977|TurkishFly|İstanbul'dan Viyana'ya Türk Hava Yolları'ndan sıradan bir kavga daha. Yemekler mükemmel, ancak her zaman olduğu gibi uçağa biniş sırasında kuyrukta bir karmaşa var. Bu havayolu, tüm müşterilere kurallar konusunda gerçekten katı olmak zorunda, çünkü deneyimlerime göre bu, biniş süreci için en kötü havayolu.
24|Atlanta|24|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Atlanta to Amman via Istanbul. Beside being one of the filthiest airport bathrooms and cheap of course for not making it easy to use the Wi-Fi, they make us wait 5 more hours in the transit just because they can fill up the plane by merging another plane for people who are going to Amman without giving us any notice! And after waiting hours now to check-in online, now they saying check-in at the counter. Bad food on the plane, bad select of movies and entertainments and of course bad customer service in the airport.
25|Manchester|25|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Manchester to Bangkok via Istanbul return in the last month. All flights were on time. Excellent food and drink service. Lovely staff and a smile on their faces. Great airline, cheap prices, excellent service.
26|Lagos|26|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Lagos to Istanbul via Kathmandu. I am never flying with Turkish Airlines again and I won't recommend to anyone I know, my friends or families. I had a very long layover both the ways around (20hrs) each. I had heard from many friends that Turkish would give a hotel or other relevant services if we have to wait there above specific hours. That's why I went directly to the airport help desk/transit passenger resting place to make an inquiry about the service I would get. To my surprise, the lady on the desk took my all information from passport and ticket and said you cannot get a hotel. Then I asked why
27|Mumbai|27|indian|2022-07-25 01:09:42.953034977|IndiaFly|मुंबई से इस्तांबुल. हमारे जीवन के सबसे बुरे अनुभवों में से एक तुर्की एयरलाइंस की यह यात्रा रही है। 6 अप्रैल को कन्फ़र्म फ़्लाइट बुक करने के बाद हमें एक ऐसी फ़्लाइट की पेशकश की गई जिसमें कनेक्टिंग फ़्लाइट हमारे उतरने से 2 दिन पहले रवाना हो जाती है। शुक्र है हमने इसे गलती से नहीं चुना. फिर हमें एक नया यात्रा कार्यक्रम दिया गया जिसके लिए हमें इस्तांबुल में रात भर रुकना पड़ा। फिर हमें हवाई अड्डे के बाहर एक होटल का कमरा दिया गया, जिसके लिए हमें तुर्की में प्रवेश करने के लिए एक्सप्रेस वीज़ा पर 220 USD और यात्रा पर अतिरिक्त 100 USD खर्च करने पड़े। एयरलाइन आपको हवाई अड्डे पर कमरे नहीं देती है, जो यात्री के लिए अधिक महंगा हो जाता है क्योंकि हमारे होटल के कमरे तक कोई उचित सार्वजनिक परिवहन नहीं है और तुर्की इसके लिए भुगतान नहीं करेगा। मामले को बदतर बनाने के लिए आज चेक-इन काम नहीं कर रहा है और उन्होंने हमसे कहा है कि अगर हमें अच्छी सीटें चाहिए तो हमें हवाई अड्डे पर जल्दी पहुंचना होगा। इसकी भयानक ग्राहक सेवा के कारण इस एयरलाइन से बचें।
28|Prague|28|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Prague to Istanbul. Just ordinary fight served by Turkish Airlines. Food excellent, but as always there's a mess with a queue when boarding process. This Airline really has to strict about the rules to all customer, as my experiences this is the worst airline for boarding process.
29|Amsterdam|29|dutch|2022-07-25 01:09:42.953034977|KLAmsterdam|Amsterdam naar Bangkok via Istanboel. Ik zal niet meer boeken na de omstandigheden waarin ik ben gevlogen. Eten: lekker. Boven het gemiddelde voor een luchtvaartmaatschappij. Entertainment tijdens de vlucht: grote verscheidenheid aan films. Cabinepersoneel: nalatig en slordig, tot een frustrerend niveau. Zoveel afleveringen waarin ze zeer eenvoudige verzoeken van passagiers negeerden of (erger nog) problemen veroorzaakten vanwege hun desorganisatie. Gate crew: bij de check-in heb ik een plek gekozen waar ik gemakkelijk bij de badkamer kan, die ik om medische redenen nodig heb. Bij de poort is de stoel doorgestreept en ben ik opnieuw toegewezen, geen uitleg gegeven. Toen ik vroeg om de stoel te veranderen in een stoel aan het gangpad, kreeg ik van het cabinepersoneel te horen dat ik tijdelijk op de toegewezen stoel moest gaan zitten. Na het opstijgen werd mijn verzoek de hele vlucht genegeerd, ongeacht of er veel stoelen leeg waren. Zitplaatsen buitengewoon oncomfortabel en onmogelijk om in te slapen (heel oud vliegtuig voor een vlucht van 10 uur). De mijne was zelfs kapot, dus ik kon helemaal niet slapen. Foodservice: zo chaotisch dat sommige mensen zichzelf begonnen te bedienen omdat hun verzoeken werden genegeerd of vergeten. Al met al een zeer slechte ervaring die me in de war brengt over hoe dit bedrijf prijzen heeft gewonnen. In eerste instantie gaf ik het ook het voordeel van de twijfel, daarom wachtte ik met het schrijven van de recensie, maar de terugvlucht bevestigde al het nalatige gedrag dat ik op de vertrekvlucht zag. Andere luchtvaartmaatschappijen bieden zeer vergelijkbare prijzen en de nadelen wegen niet op tegen de vluchtomstandigheden die u zult ervaren.
30|Venice|30|italian|2022-07-25 01:09:42.953034977|Italines|"Da Venezia ad Ankara via Istanbul. Invece di decollare in orario, il combattimento è stato originariamente ritardato (sulla tabella delle informazioni c'era scritto 10 minuti). Sono stato soddisfatto delle informazioni (è possibile essere ritardati). La successiva informazione che seguì ci invitò ad andare al cancello. Più del 75% dei passeggeri ha creato la fila davanti al banco e noi eravamo in attesa di aprire il varco. È stato il primo errore, dopo 45 minuti lo staff ha cambiato l'orario di partenza sul banco informazioni per le 10:50. Nessuno sapeva che la partita era iniziata. L'aereo ha subito un ritardo di oltre 60 minuti. Di solito è il personale a fornirti ulteriori informazioni sui voli in coincidenza. Purtroppo non è il caso di Turkish Airlines. Dopo l'arrivo, corro dall'aereo attraverso il tunnel nel terminal e speravo di prendere il volo per Ankara. Il ragazzo che indossava l'uniforme dell'AT e che stava aspettando in fondo al tunnel mi ha mostrato la direzione dove avrei dovuto trovare il gate per il mio volo. Ovviamente era la direzione sbagliata e sono dovuto tornare indietro. Dopodiché, ho dovuto passare attraverso la cornice dei raggi X e ho perso altri 10 minuti anche se non ho lasciato l'area protetta. Quando sono entrato nella sala principale ho visto che il cancello è chiuso. Fino a questo momento nessuno si è scusato per l'inconveniente e fino ad oggi anche. Questo viaggio dell'orrore non era ancora alla fine. Ho cercato di trovare l'ufficio TA e ho trovato solo il banco TA dove era possibile acquistare nuovi biglietti. Quando ho iniziato a spiegare la mia situazione e il ragazzo dietro la scrivania ha riconosciuto che non sono un nuovo potenziale cliente, la sua espressione del viso è cambiata rapidamente e la sua voce annoiata mi ha detto che non è responsabile delle informazioni. Il problema era chiuso per lui. Dopo pochi minuti ho trovato il desk con il logo TA nelle sezioni check-in. Corro lì per risolvere il problema e ho cercato di informare il primo staff della mia situazione. La sua risposta è stata: ""Aspetta un minuto"".. Non volevo aspettare e gli ho detto che la sua azienda è responsabile della situazione e mi aspetto più empatia e servizio completo per i clienti. Nessuna risposta, solo una reazione disgustata visibile nella sua mimica e mi ha mostrato con il dito un altro operatore di AT seduto accanto a lui. Questa persona si è lasciata spiegare nuovamente la mia situazione e ha stampato una nuova carta d'imbarco per il volo delle 18:00. Ho controllato la partenza sullo schermo e dal mio prossimo volo c'erano ulteriori informazioni che è in ritardo di 40 minuti prima della partenza. Ho chiesto di nuovo al ragazzo se è serio e la mia seconda domanda è stata perché non è possibile ottenere il biglietto per il volo alle 17:00? La risposta è stata data con la massima arroganza nella sua voce. ""Il volo è pieno!"". E non è ancora la fine dei guai, invece di ritardare di 40 minuti il ​​""grande"" TA mi ha fatto aspettare un'ora in più rispetto all'orario di partenza originale. Il servizio era il caos e il comportamento dei dipendenti era tutt'altro che professionale."
31|Helsinki|31|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Helsinki to Kiev via Istanbul. Flying Turkish Airlines for the very first time. I was simply shocked, in a good way. I have never seen a more spacious plane with such leg room in economy class. The served meal was just lovely, cabin crew as well. 10/10.
32|Amsterdam|32|dutch|2022-07-25 01:09:42.953034977|KLAmsterdam|Amsterdam naar Bangkok via Istanboel. Vlucht ging vier uur te laat aan boord zonder communicatie tijdens deze vertraging. Het instappen was een complete puinhoop en iedereen klauterde om in te stappen. Eenmaal aan boord zag de bemanning van de business class er volkomen ongeïnteresseerd uit, wat de hele vlucht doorging. Het niveau van communicatieve vaardigheden in het Engels van het cabinepersoneel en de cockpit blijft ver onder de maat. De bemanning kwam over alsof ze je een plezier deden toen ik om een ​​drankje vroeg. Een zeer slechte algehele ervaring.
33|New York|33|english|2022-07-25 01:09:42.953034977|AlphaAirlines|New York to Tel Aviv via Istanbul. Never again. While staff was excellent, plane was hot and extremely uncomfortable. Painfully uncomfortable. Several passengers requested for cabin air to be cooled. No avail. Plane was dirty. Get ready for your back and knees to hurt.
34|Manila|34|arabic|2022-07-25 01:09:42.953034977|EmiratesFly|مانيلا الى اسطنبول. إذا سافرت في أي وقت مع طيران الإمارات أو الخطوط الجوية القطرية ، فستفقد خدمتهم إذا سافرت على متن الخطوط الجوية التركية. رأيت الطاقم فقط ، عندما كانوا يقدمون وجبة بعد المغادرة ، قبل الوصول والجري من الأمام إلى الخلف والعكس صحيح. لم تقدم مشروبات أو وجبات خفيفة. يعد الماء لمدة 13 ساعة تقريبًا أمرًا ضروريًا ، ولكن لم يتم تقديمه مطلقًا.
35|Dhaka|35|english|2022-07-25 01:09:42.953034977|AlphaAirlines|Dhaka to Copenhagen via Istanbul. This trip was full of disappointments. Already the airport lounge, Dhaka, demanded money for a glass of wine, unheard. I am a frequent flyer, I have never experienced business class lounge charging a business class passenger, for a glass of wine. Next, on board, no welcome drinks. I asked for a newspaper and a drink, the choice was a glass of water or a lemonade. After take-off, no beverage and snacks, just the meal, which was disgusting. My choice was beef, which was cold, dry, served with some bean and carrots, also cold. I asked for a glass of red wine, but waiting and waiting, I tried to draw the attention of a crew, who was talking with another passenger in the front row. Then I had to get up went where he was enjoying a conversation with the passenger. I made my request- I got served a glass of wine-. I expressed my gratitude- and the crew explained the delay- he had to take care of a CIP. The meal was eatabel, so asked for a cup of coffee and a glass of cognac. Surprise- the crew said there was no cognac. I showed the menu, which showed cognac was available. Well, had almost 6hours layover at Istanbul airport lounge, which was OK. About 90 minutes prior to board, we were asked to go the the gate. After completion of checking tickets and passports, we were waiting to board- almost 45 minutes had to wait and then bus to the plain. The flight was on way to Copenhagen. There were a grpoup of Danish passengers,. A elderly gentleman asked for lass of cognac, the crew was about to serve a generous glass of cognac. Another female crew rushed and snatched the glass, poured half of the content to another glass and then served the guest. We had a laugh- that was entertaining.- but not convincing for making Turkish Airline the choice any more.
